"","time","MR_mean_summ","MR_sd_summ","maladaptation_time"
"1141",1141,0.116124868266378,0.158398566149714,0
"1142",1142,0.113014266778978,0.155644381326855,0
"1143",1143,0.109216419688949,0.15241223201002,0
"1144",1144,0.111558163315578,0.154087525056137,0
"1145",1145,0.105055905708337,0.149385016151166,1
"1146",1146,0.101830118055551,0.146733835205037,1
"1147",1147,0.100871841570563,0.146076678294671,0
"1148",1148,0.100221164344583,0.145159028299478,0
"1149",1149,0.0992003923001046,0.14343276018565,0
"1150",1150,0.0976005243626031,0.142292916578369,0
"1151",1151,0.0977798665509613,0.142651975454058,0
"1152",1152,0.094395925764479,0.139988087034511,0
"1153",1153,0.0947324091119242,0.139578844280832,0
"1154",1154,0.09149587639601,0.137705168729791,1
"1155",1155,0.0932082225007007,0.139099201992398,0
"1156",1156,0.0927038772318925,0.137908408631773,0
"1157",1157,0.0913770215034123,0.136788715044775,1
"1158",1158,0.0980002523253218,0.144507499663852,0
"1159",1159,0.0978659071026864,0.143622458073112,0
"1160",1160,0.101354665217951,0.149874110265339,0
"1161",1161,0.0950248557149109,0.142386303146837,1
"1162",1162,0.093050462943483,0.140285009769462,1
"1163",1163,0.0924794614700273,0.140241372721488,0
"1164",1164,0.0976391368801831,0.144410825077474,0
"1165",1165,0.095498482896816,0.144062394355008,1
"1166",1166,0.100693856994018,0.147888925873501,0
"1167",1167,0.0940266071568196,0.140578196402098,1
"1168",1168,0.0882428912475063,0.135214869960009,1
"1169",1169,0.086395076649681,0.132846424823035,1
"1170",1170,0.0874787749147003,0.133353047747311,0
"1171",1171,0.085928032976968,0.132235908865556,1
"1172",1172,0.0840433357026703,0.130714140201553,1
"1173",1173,0.0827979065315318,0.129151988933917,0
"1174",1174,0.0840981882017769,0.13159799252369,1
"1175",1175,0.0824103043710322,0.129504062562825,1
"1176",1176,0.0831010118505536,0.129597206802572,0
"1177",1177,0.0811120300015441,0.127331809350651,1
"1178",1178,0.0824509424543432,0.129048647413621,0
"1179",1179,0.083219415350655,0.129544158308763,0
"1180",1180,0.0869345440556447,0.135282777919944,0
"1181",1181,0.0822901286941002,0.129672620205461,0
"1182",1182,0.0810017366040854,0.128181505352022,0
"1183",1183,0.0810936760772819,0.127942285983938,0
"1184",1184,0.0802971146913526,0.128136718492795,1
"1185",1185,0.0809159120603196,0.129044988444665,1
"1186",1186,0.0813380325818742,0.129360668197388,1
"1187",1187,0.0794350419024139,0.126852590015205,1
"1188",1188,0.0764484812426621,0.123307571431336,0
"1189",1189,0.0790201273661317,0.126918921207428,0
"1190",1190,0.0777396753037242,0.125223351302674,0
"1191",1191,0.0782590329188373,0.125943430799336,0
"1192",1192,0.0750042029891117,0.122586757643347,0
"1193",1193,0.0773744425383738,0.125036011268857,1
"1194",1194,0.0773083021225529,0.124762025843901,0
"1195",1195,0.0783219946334345,0.126716985870935,0
"1196",1196,0.0783690854030932,0.126312708511044,1
"1197",1197,0.0773285640242995,0.125051102818002,1
"1198",1198,0.0791002430903748,0.127614022639209,1
"1199",1199,0.0764359913614583,0.124680073823597,1
"1200",1200,0.0733919056087602,0.121353809124287,0
"1201",1201,0.0768410121057901,0.12453329300296,0
"1202",1202,0.0756905423960724,0.122816558542066,0
"1203",1203,0.0750630551156959,0.122179666743378,0
"1204",1204,0.0736780722289946,0.122093885549291,0
"1205",1205,0.0729898299041696,0.121688136279842,1
"1206",1206,0.0723473434930494,0.120660111056394,0
"1207",1207,0.0729707237999394,0.121567060075571,0
"1208",1208,0.0730408322397036,0.122101347533344,0
"1209",1209,0.071598489013575,0.120010163688558,1
"1210",1210,0.0747821609971224,0.12286096125748,0
"1211",1211,0.0735083652861324,0.121798512014829,1
"1212",1212,0.0757128150307292,0.125536398480361,1
"1213",1213,0.0765963507128578,0.127210996008856,0
"1214",1214,0.0757061303313535,0.124873002611776,1
"1215",1215,0.0796835797729149,0.129643314049279,0
"1216",1216,0.0801102581844502,0.129968068191089,1
"1217",1217,0.076683994658054,0.12591564471286,1
"1218",1218,0.0773994360408375,0.127108036750545,1
"1219",1219,0.0782447809434252,0.128225381388431,0
"1220",1220,0.0792516975626967,0.129282512357356,0
"1221",1221,0.0763678125645862,0.125919327063293,0
"1222",1222,0.0761200968532578,0.125688125084267,1
"1223",1223,0.0734155797730177,0.123234088222645,1
"1224",1224,0.0755963394021467,0.125415168454344,1
"1225",1225,0.0748384839138439,0.124691778567889,0
"1226",1226,0.0761649863322277,0.126307728218235,0
"1227",1227,0.0739258929191426,0.123736886945688,0
"1228",1228,0.0732642666558257,0.122600973805689,1
"1229",1229,0.0739846955416848,0.122696390387239,1
"1230",1230,0.0786702433032375,0.129545581612683,0
"1231",1231,0.076728947484945,0.127063052530687,1
"1232",1232,0.0755553889501101,0.125252638728725,0
"1233",1233,0.0749782237541109,0.123988624136916,1
"1234",1234,0.0738819713592869,0.12468818128772,0
"1235",1235,0.0731312849098688,0.123160731053659,1
"1236",1236,0.0717670940639842,0.121084744529211,1
"1237",1237,0.0715642617203425,0.120050744973569,1
"1238",1238,0.0728773514229819,0.121590298937135,0
"1239",1239,0.073383190265001,0.122079881286284,1
"1240",1240,0.0722972222840205,0.120630174740828,1
"1241",1241,0.0697852837108015,0.117880302636174,1
"1242",1242,0.0741998546103974,0.122915978364798,0
"1243",1243,0.0715901886768135,0.120669539183544,1
"1244",1244,0.0716310323877256,0.12088976223202,1
"1245",1245,0.0709660512827831,0.119804539863549,1
"1246",1246,0.0717294444119753,0.119992786624125,0
"1247",1247,0.0714470122405315,0.119717231401612,1
"1248",1248,0.0715300469539767,0.120604054875056,0
"1249",1249,0.0718149356327444,0.120933858757991,1
"1250",1250,0.0697298675175325,0.119369708407092,1
"1251",1251,0.0713718677569782,0.12088302060634,0
"1252",1252,0.0722956248197817,0.121125648966127,1
"1253",1253,0.0733273178271608,0.12285732314502,1
"1254",1254,0.069199556326928,0.117544043588554,0
"1255",1255,0.0678341691008891,0.115832266681268,0
"1256",1256,0.0689544739003753,0.11642374139729,1
"1257",1257,0.067479932852165,0.115077838500252,0
"1258",1258,0.0680742901188099,0.116160194344816,1
"1259",1259,0.0693277673906621,0.117896702889035,1
"1260",1260,0.067601383128893,0.11559881832986,0
"1261",1261,0.0698070429037807,0.11793047131577,0
"1262",1262,0.0685652917684511,0.117243796108838,1
"1263",1263,0.0694915657667302,0.118111672171592,0
"1264",1264,0.0675630602373989,0.115682321561798,1
"1265",1265,0.0704076006140322,0.118878179019332,0
"1266",1266,0.0680197576311885,0.116808223880617,1
"1267",1267,0.0673736602559714,0.115826083791851,0
"1268",1268,0.068013899959121,0.116840672758176,0
"1269",1269,0.0680706940046446,0.116763367720968,0
"1270",1270,0.0676962610468961,0.116392450533742,0
"1271",1271,0.0686505317971097,0.116539242160321,1
"1272",1272,0.0672441718106058,0.115494927252958,0
"1273",1273,0.0676678660124647,0.115789019485351,1
"1274",1274,0.0667995875113303,0.114468313243217,1
"1275",1275,0.0715717580280491,0.119875229076203,0
"1276",1276,0.0689902604285814,0.117050182994566,1
"1277",1277,0.0682385040678841,0.1165483576827,0
"1278",1278,0.0697622001265878,0.118683403796896,0
"1279",1279,0.069039225287156,0.118102432031709,1
"1280",1280,0.0696141719224528,0.120233949250521,0
"1281",1281,0.0709490075901563,0.121490542238199,0
"1282",1282,0.0714297652817347,0.12052091109483,0
"1283",1283,0.0690282441533038,0.118359048754184,0
"1284",1284,0.0680260133608404,0.117032521243366,1
"1285",1285,0.0678996028688183,0.116500807906528,0
"1286",1286,0.0675611838291441,0.116507271198552,1
"1287",1287,0.0709550169493332,0.123710282745477,1
"1288",1288,0.0686937167990618,0.119228074712501,1
"1289",1289,0.0670887280221677,0.117110582334959,0
"1290",1290,0.0682614581314113,0.118566690965671,1
"1291",1291,0.0674705519068252,0.117470439711096,0
"1292",1292,0.0672306586200963,0.116520712451529,1
"1293",1293,0.0663660329264039,0.115959111399987,0
"1294",1294,0.0670394126084334,0.116304596080419,1
"1295",1295,0.0661569897483165,0.116033103521452,1
"1296",1296,0.0655854632850731,0.114548692441375,0
"1297",1297,0.067894195349741,0.117205316017628,1
"1298",1298,0.0684605115785399,0.11721574020768,0
"1299",1299,0.0750805024900251,0.12746509251186,0
