"","time","mean_sumsize"
"582",582,24704.5
"583",583,24558.9
"584",584,24931.5
"585",585,24906.8
"586",586,24678
"587",587,24955.1
"588",588,24777.3
"589",589,24283.3
"590",590,24640.2
"591",591,24277
"592",592,24731.3
"593",593,24858.8
"594",594,24491.9
"595",595,24240.5
"596",596,24655.8
"597",597,24929.6
"598",598,24914.5
"599",599,24655.2
"600",600,24672.7
"601",601,24808
"602",602,24112.5
"603",603,24462
"604",604,24881.8
"605",605,24668.2
"606",606,24817.1
"607",607,24619.3
"608",608,24957
"609",609,24557.3
"610",610,24593.8
"611",611,24537.2
"612",612,25004.8
"613",613,24219.2
"614",614,24352.6
"615",615,24321.4
"616",616,24529.4
"617",617,24524.8
"618",618,24932.1
"619",619,24490.9
"620",620,24514.4
"621",621,24893.6
"622",622,24712.3
"623",623,24732.4
"624",624,24648.7
"625",625,25083.5
"626",626,24171.6
"627",627,24263
"628",628,24346
"629",629,24664.8
"630",630,24559.1
"631",631,24891.3
"632",632,24391.6
"633",633,24882.3
"634",634,24394.3
"635",635,24353.1
"636",636,24533.8
"637",637,24313.8
"638",638,24267.1
"639",639,24631
"640",640,24700.4
"641",641,24703.1
"642",642,24729.5
"643",643,24443.8
"644",644,24649
"645",645,24433.4
"646",646,24862.7
"647",647,24568.1
"648",648,24460.7
"649",649,24167.8
"650",650,24191
"651",651,24459.5
"652",652,24611.9
"653",653,24961.3
"654",654,24786.8
"655",655,24921
"656",656,24694.1
"657",657,24693.2
"658",658,24187.6
"659",659,24719.6
"660",660,24409.5
"661",661,24174.5
"662",662,24531.3
"663",663,24622
"664",664,24462.6
"665",665,24782.3
"666",666,24758.9
"667",667,24795.2
"668",668,24560.1
"669",669,25117.1
"670",670,24393.9
"671",671,24654.8
"672",672,24857.9
"673",673,24602.1
"674",674,24611.1
"675",675,24354.1
"676",676,24262.2
"677",677,24964.1
"678",678,24778.4
"679",679,24499.6
"680",680,24363.1
"681",681,24390.3
"682",682,24481.9
"683",683,24662.8
"684",684,24900.4
"685",685,25018
"686",686,24679.5
"687",687,24652.8
"688",688,25049
"689",689,24580.7
"690",690,24555.7
"691",691,24764
"692",692,25026.1
"693",693,24727.8
"694",694,24518.7
"695",695,24564.4
"696",696,24109
"697",697,24780.1
"698",698,24695
"699",699,24391.7
"700",700,24491.2
"701",701,24659.7
"702",702,24663.7
"703",703,24768.8
"704",704,24791.9
"705",705,24906.4
"706",706,24700.6
"707",707,24642.8
"708",708,24556.7
"709",709,24614.8
"710",710,24723.3
"711",711,24863.3
"712",712,24782.6
"713",713,24986.4
"714",714,24762.5
"715",715,24786.3
"716",716,24735.3
"717",717,24687.6
"718",718,24398.9
"719",719,24381.7
"720",720,24621.2
"721",721,24330.6
"722",722,24205.7
"723",723,24449
"724",724,24632.2
"725",725,24357.6
"726",726,24988.4
"727",727,24755.6
"728",728,24420.3
"729",729,24711.4
"730",730,24536.9
"731",731,24321.7
"732",732,24784
"733",733,24427.2
"734",734,24218.1
"735",735,24361.2
"736",736,24866.4
"737",737,24713.6
"738",738,24709.6
"739",739,24614.5
"740",740,24619
"741",741,24578.8
"742",742,24908.4
"743",743,24453.2
"744",744,24314.8
"745",745,24702.9
"746",746,24636.2
"747",747,24819.5
"748",748,24531.1
"749",749,24696
"750",750,24495.3
"751",751,24583
"752",752,24396.2
"753",753,24391.5
"754",754,24802.3
"755",755,24748.5
"756",756,24518.8
"757",757,24599.5
"758",758,24287.2
"759",759,24528.1
"760",760,24632.6
"761",761,24634.9
"762",762,24905.8
"763",763,24709.5
"764",764,24731.3
"765",765,24615.8
"766",766,24658.6
"767",767,24588.1
"768",768,24867.1
"769",769,24612.6
"770",770,24668.9
"771",771,24745.1
"772",772,25009.1
"773",773,24691.4
"774",774,24625.8
"775",775,24926.1
"776",776,25015.3
"777",777,24520.2
"778",778,24871.9
"779",779,24512.7
"780",780,24456.7
"781",781,24344.7
"782",782,24023.9
"783",783,24261
"784",784,24676.6
"785",785,24920.8
