"","time","mean_MR_mean_summ","mean_MR_sd_summ","mean_maladaptation_time"
"835",835,0.615200135351417,0.266664399758989,0.6
"836",836,0.616013845964452,0.267123740300454,0.6
"837",837,0.615573677493397,0.266416190555509,0.6
"838",838,0.614269938506781,0.266094000831752,0.2
"839",839,0.613533350220859,0.267117035931808,0.7
"840",840,0.615236377310497,0.267035426028339,0.6
"841",841,0.6171775570649,0.267004053777384,0.6
"842",842,0.614826194716348,0.26781906644762,0.4
"843",843,0.6149356886367,0.267418960222193,0.6
"844",844,0.613939196297139,0.26638917725038,0.1
"845",845,0.614051892583052,0.267173315486331,0.6
"846",846,0.612709977313577,0.266811791268687,0.5
"847",847,0.612153040876425,0.266740282543779,0.4
"848",848,0.614036890959011,0.26607623255242,0.3
"849",849,0.614940970273398,0.267838587049459,0.7
"850",850,0.616939426638231,0.266694171657604,0.4
"851",851,0.616191850844347,0.266440765045943,0.5
"852",852,0.615397767445787,0.266742303512386,0.7
"853",853,0.612157068614545,0.267262537787139,0.4
"854",854,0.61363677979095,0.266611011946893,0.3
"855",855,0.615872287976894,0.266442059256304,0.3
"856",856,0.61494672833707,0.266797917730054,0.6
"857",857,0.616154151860515,0.266271032673937,0.6
"858",858,0.616766945469357,0.266191448210624,0.2
"859",859,0.61604822964227,0.267337660153232,0.2
"860",860,0.618318354101414,0.26658596554346,0.6
"861",861,0.617276147361462,0.267122445685432,0.7
"862",862,0.619927411130955,0.267264523253843,0.6
"863",863,0.61663268249812,0.2682736634355,0.8
"864",864,0.616170882434754,0.268068437196112,0.6
"865",865,0.618229975926374,0.267175661258601,0.5
"866",866,0.618155847658484,0.267526631432643,0.5
"867",867,0.617547119504982,0.267046780376564,0.4
"868",868,0.613599529093866,0.268142938529722,0.5
"869",869,0.615803223273324,0.268111175033119,0.1
"870",870,0.616238115639053,0.267239006237838,0.6
"871",871,0.615030465434188,0.268008329945478,0.5
"872",872,0.610211635363256,0.268891155799944,0.5
"873",873,0.612238714127341,0.267953787001307,0.6
"874",874,0.612431583596601,0.267870640342658,0.7
"875",875,0.612847209863268,0.267772559028198,0.6
"876",876,0.611754743759759,0.269146573908419,0.4
"877",877,0.610643099165399,0.269440844741576,0.5
"878",878,0.612054508296204,0.268843260055872,0.5
"879",879,0.611330667183545,0.268304402315489,0.6
"880",880,0.613547061363402,0.268501193005537,0.5
"881",881,0.611238665556773,0.268622759651369,0.4
"882",882,0.611430983848742,0.267669728401126,0.4
"883",883,0.613709689728451,0.268617732325534,0.8
"884",884,0.612096280940231,0.267810488118538,0.4
"885",885,0.609268782249907,0.268696077799261,0.5
"886",886,0.611746442213321,0.26800367954832,0.5
"887",887,0.613098161848172,0.268469839508094,0.6
"888",888,0.612489594840763,0.267763203506787,0.4
"889",889,0.61137446545689,0.267719741852802,0.4
"890",890,0.611392785608167,0.267882405839313,0.6
"891",891,0.610483914226061,0.267972341412647,0.6
"892",892,0.608533895811822,0.268984292267246,0.8
"893",893,0.610581041545782,0.267895247622508,0.6
"894",894,0.608770834014648,0.268106502328783,0.5
"895",895,0.611722989219441,0.267547137216005,0.4
"896",896,0.610083002348716,0.267677851666465,0.4
"897",897,0.611725939002935,0.267514820232361,0.5
"898",898,0.610927628855104,0.266455950954183,0.7
"899",899,0.612974471999623,0.266809677990717,0.5
"900",900,0.609499092209404,0.267738551302829,0.6
"901",901,0.609287779111703,0.268382018006872,0.4
"902",902,0.61162487057115,0.268166918486725,0.5
"903",903,0.61308461427366,0.267830543395698,0.4
"904",904,0.61298067341315,0.267751275710852,0.4
"905",905,0.612227800102893,0.267395112451095,0.2
"906",906,0.60910570074335,0.267948793920045,0.9
"907",907,0.609020922046536,0.268192502756081,0.5
"908",908,0.60752117761605,0.269246545155251,0.6
"909",909,0.609510414628873,0.269218151454958,0.2
"910",910,0.611640190718532,0.269435743456866,0.3
"911",911,0.609965014397852,0.269765119172155,0.6
"912",912,0.609872585276731,0.269989031792258,0.4
"913",913,0.608308849929653,0.269073462875423,0.3
"914",914,0.609835184184668,0.268059894611631,0.5
