"param_iteration","timeperiod","pop_struct","pop_size","mean_MR","sd_MR"
15,"After",976208.47658323,2270785,0.0873155719572661,0.14359909922607
16,"Before",223920.816160529,257533,0.510709289701983,0.370565076656354
16,"Soon",1878512.5033699,2224909,0.136379679890145,0.194856405930198
16,"After",2160811.60971239,2558519,0.148869837840752,0.206190866485027
17,"Before",78810.2374686229,238166,0.467337955889212,0.374564873863466
17,"Soon",549300.847294235,1734759,0.0235165884248312,0.0679117964785053
17,"After",700474.119676113,2243755,0.0236789555405155,0.0684336900951466
18,"Before",218694.106246885,251515,0.544635755480649,0.362630541602333
18,"Soon",1767899.70026479,2168877,0.0584415934443384,0.11045625291479
18,"After",2001953.48789688,2459105,0.0580698799957253,0.110148350706052
19,"Before",207430.628238025,256320,0.50218636089382,0.371759633446341
19,"Soon",1695506.43704948,2197595,0.0526769094866203,0.102736874852283
19,"After",1907623.08726135,2479086,0.0533411378898518,0.104005071967995
20,"Before",239250.935794032,258550,0.585889060052557,0.355716896529844
20,"Soon",2011221.62564793,2252877,0.108405875131526,0.166854154395115
20,"After",2286396.26266085,2561677,0.108674544000443,0.165670236943143
21,"Before",82379.6311910716,219311,0.633853315381151,0.34154192548187
21,"Soon",894179.446228717,2011645,0.0661115114877699,0.121495806645338
21,"After",1024325.9792081,2311691,0.064505233347534,0.118168963548492
22,"Before",190271.60188136,252102,0.515458288510949,0.380950105341353
22,"Soon",1569869.95574041,2163793,0.0524341940933217,0.103436837188658
22,"After",1808199.47100005,2484361,0.0514934698113644,0.101849469642481
23,"Before",83041.712626357,236088,0.611234595139529,0.363295819188505
23,"Soon",826884.990785848,2011196,0.135319780303322,0.201280429095721
23,"After",922603.253834692,2236443,0.121245901442246,0.180442545068059
24,"Before",225221.280932751,253279,0.517338681334487,0.370975523176225
24,"Soon",1853397.5470033,2206022,0.0706442698994673,0.124456172999424
24,"After",2091151.64523271,2497117,0.0722691633787182,0.126299933193626
25,"Before",229124.989938647,255133,0.562007628247445,0.357900949374538
25,"Soon",1875444.82071161,2222837,0.0494695240379852,0.099314876987436
25,"After",2102895.115533,2493052,0.0488390984995834,0.0984581292806935
26,"Before",217982.720976291,252186,0.496360689027674,0.370847001355434
26,"Soon",1707611.8383748,2158934,0.0370347947445069,0.0846604219587755
26,"After",1947630.89234698,2472062,0.0365098904762646,0.083719736447066
27,"Before",111037.134853299,226550,0.568081368266993,0.376747944359299
27,"Soon",956525.861173075,2053173,0.0324559265505621,0.0800970060684935
27,"After",1089839.12545678,2336060,0.0325475905391357,0.0799454472567527
28,"Before",157403.079525664,247174,0.529889779075474,0.374087560578725
28,"Soon",1355992.28530183,2109635,0.0437971218179321,0.0933473821408691
28,"After",1525150.19587289,2385528,0.0441586198190271,0.0935255986643911
29,"Before",198150.126192093,255396,0.520769402037037,0.378905001658635
29,"Soon",1600004.93801864,2148255,0.0713883192973107,0.125482278182346
29,"After",1808511.63358574,2433064,0.0708529164941814,0.124097675807273
30,"Before",119007.34878082,242334,0.350502986950433,0.353944385493875
30,"Soon",1120303.51611504,2068704,0.0412404761731159,0.0909075907571026
30,"After",1277669.95238087,2375770,0.041437669960664,0.0916699062631895
31,"Before",148854.594016653,246391,0.553510780060055,0.375897574119068
31,"Soon",1203994.50172029,2098824,0.0385260681487073,0.0870118281226108
31,"After",1333433.39953246,2372302,0.0378355449358099,0.0867250028382835
32,"Before",157645.44679782,250756,0.530235845726114,0.363643849098443
32,"Soon",1352002.59551739,2096392,0.0644184014286024,0.117359467617187
