IID,ph1,ph2,COI,FID,n,species,Lat,Long,Pop,ID
1777,0.5,1,3,NSW1079798,1,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_1
1778,1,1,2.5,NSW1079798,2,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_2
1779,4,1,50,NSW1079798,3,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_3
1780,3,1,12,NSW1079798,4,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_4
1781,4,1,15,NSW1079798,5,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_5
1782,4,1,10,NSW1079798,6,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_6
1783,0.25,1,0.5,NSW1079798,7,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_7
1784,5,1,25,NSW1079798,8,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_8
1785,4,1,20,NSW1079798,9,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_9
1788,4,1,25,NSW1079798,12,Melaleuca quinquenervia,-31.04851124,153.0380382,p831064a0,NSW_1079798_12
1792,NA,NA,NA,NSW1079799,4,Melaleuca quinquenervia,-31.30753143,152.9627998,pe59c2ef0,NSW_1079799_4
1795,1,1,0.5,NSW1079799,7,Melaleuca quinquenervia,-31.30753143,152.9627998,pe59c2ef0,NSW_1079799_7
1799,0.5,1,3,NSW1079799,11,Melaleuca quinquenervia,-31.30753143,152.9627998,pe59c2ef0,NSW_1079799_11
1800,0,0,0,NSW1079799,12,Melaleuca quinquenervia,-31.30753143,152.9627998,pe59c2ef0,NSW_1079799_12
1806,3,1,3,NSW1079803,6,Melaleuca quinquenervia,-31.02313825,153.0207133,p831064a0,NSW_1079803_6
1810,3,1,12,NSW1079803,10,Melaleuca quinquenervia,-31.02313825,153.0207133,p831064a0,NSW_1079803_10
1811,4,1,20,NSW1079803,11,Melaleuca quinquenervia,-31.02313825,153.0207133,p831064a0,NSW_1079803_11
1813,2,1,6,NSW1079804,1,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_1
1814,4,1,5,NSW1079804,2,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_2
1815,4,1,50,NSW1079804,3,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_3
1816,1.5,1,12,NSW1079804,4,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_4
1817,3,1,30,NSW1079804,5,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_5
1818,0,0,0,NSW1079804,6,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_6
1819,3,1,3,NSW1079804,7,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_7
1820,2,1,7.5,NSW1079804,8,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_8
1821,2.5,1,4.5,NSW1079804,9,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_9
1822,4,1,10,NSW1079804,10,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_10
1823,1,1,1,NSW1079804,11,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_11
1824,0.5,1,NA,NSW1079804,12,Melaleuca quinquenervia,-31.49540748,152.9030448,pb9a5aec0,NSW_1079804_12
1825,4,1,5,NSW1079808,1,Melaleuca quinquenervia,-31.02977903,153.0255807,p831064a0,NSW_1079808_1
1827,4,1,5,NSW1079808,3,Melaleuca quinquenervia,-31.02977903,153.0255807,p831064a0,NSW_1079808_3
1828,1.25,1,2,NSW1079808,4,Melaleuca quinquenervia,-31.02977903,153.0255807,p831064a0,NSW_1079808_4
1830,0.5,1,5,NSW1079808,6,Melaleuca quinquenervia,-31.02977903,153.0255807,p831064a0,NSW_1079808_6
1831,0,0,0,NSW1079808,7,Melaleuca quinquenervia,-31.02977903,153.0255807,p831064a0,NSW_1079808_7
1834,4,1,10,NSW1079808,10,Melaleuca quinquenervia,-31.02977903,153.0255807,p831064a0,NSW_1079808_10
1835,0,0,0,NSW1079808,11,Melaleuca quinquenervia,-31.02977903,153.0255807,p831064a0,NSW_1079808_11
1836,4,1,25,NSW1079808,12,Melaleuca quinquenervia,-31.02977903,153.0255807,p831064a0,NSW_1079808_12
1837,4,1,60,NSW1079809,1,Melaleuca quinquenervia,-31.50223666,152.8982914,pb9a5aec0,NSW_1079809_1
1839,3,1,24,NSW1079809,3,Melaleuca quinquenervia,-31.50223666,152.8982914,pb9a5aec0,NSW_1079809_3
1841,0,0,0,NSW1079809,5,Melaleuca quinquenervia,-31.50223666,152.8982914,pb9a5aec0,NSW_1079809_5
1845,4,1,40,NSW1079809,9,Melaleuca quinquenervia,-31.50223666,152.8982914,pb9a5aec0,NSW_1079809_9
1846,0.5,1,1,NSW1079809,10,Melaleuca quinquenervia,-31.50223666,152.8982914,pb9a5aec0,NSW_1079809_10
1847,3,1,36,NSW1079809,11,Melaleuca quinquenervia,-31.50223666,152.8982914,pb9a5aec0,NSW_1079809_11
1849,3,1,3,NSW1079813,1,Melaleuca quinquenervia,-31.03043342,153.0241479,p831064a0,NSW_1079813_1
1855,0.5,1,1,NSW1079813,7,Melaleuca quinquenervia,-31.03043342,153.0241479,p831064a0,NSW_1079813_7
1856,1,1,0.5,NSW1079813,8,Melaleuca quinquenervia,-31.03043342,153.0241479,p831064a0,NSW_1079813_8
1858,0,0,0,NSW1079813,10,Melaleuca quinquenervia,-31.03043342,153.0241479,p831064a0,NSW_1079813_10
1859,4,1,10,NSW1079813,11,Melaleuca quinquenervia,-31.03043342,153.0241479,p831064a0,NSW_1079813_11
1861,4,1,40,NSW1079814,1,Melaleuca quinquenervia,-31.49585756,152.9025959,pb9a5aec0,NSW_1079814_1
1862,4,1,15,NSW1079814,2,Melaleuca quinquenervia,-31.49585756,152.9025959,pb9a5aec0,NSW_1079814_2
1865,2,1,24,NSW1079814,5,Melaleuca quinquenervia,-31.49585756,152.9025959,pb9a5aec0,NSW_1079814_5
1866,0,0,0,NSW1079814,6,Melaleuca quinquenervia,-31.49585756,152.9025959,pb9a5aec0,NSW_1079814_6
1867,3,1,3,NSW1079814,7,Melaleuca quinquenervia,-31.49585756,152.9025959,pb9a5aec0,NSW_1079814_7
1868,0,0,0,NSW1079814,8,Melaleuca quinquenervia,-31.49585756,152.9025959,pb9a5aec0,NSW_1079814_8
1869,0.5,1,1,NSW1079814,9,Melaleuca quinquenervia,-31.49585756,152.9025959,pb9a5aec0,NSW_1079814_9
1871,3,1,9,NSW1079814,11,Melaleuca quinquenervia,-31.49585756,152.9025959,pb9a5aec0,NSW_1079814_11
1873,4,1,5,NSW1079818,1,Melaleuca quinquenervia,-31.03060077,153.0237167,p831064a0,NSW_1079818_1
1874,4,1,30,NSW1079818,2,Melaleuca quinquenervia,-31.03060077,153.0237167,p831064a0,NSW_1079818_2
1875,4,1,25,NSW1079818,3,Melaleuca quinquenervia,-31.03060077,153.0237167,p831064a0,NSW_1079818_3
1876,4,1,20,NSW1079818,4,Melaleuca quinquenervia,-31.03060077,153.0237167,p831064a0,NSW_1079818_4
1877,4,1,60,NSW1079818,5,Melaleuca quinquenervia,-31.03060077,153.0237167,p831064a0,NSW_1079818_5
1879,4,1,5,NSW1079818,7,Melaleuca quinquenervia,-31.03060077,153.0237167,p831064a0,NSW_1079818_7
1898,0,0,0,NSW1079821,2,Melaleuca quinquenervia,-31.68235956,152.8002216,pa9710de0,NSW_1079821_2
1899,0.5,1,7,NSW1079821,3,Melaleuca quinquenervia,-31.68235956,152.8002216,pa9710de0,NSW_1079821_3
1900,3,1,6,NSW1079821,4,Melaleuca quinquenervia,-31.68235956,152.8002216,pa9710de0,NSW_1079821_4
1901,0,0,0,NSW1079821,5,Melaleuca quinquenervia,-31.68235956,152.8002216,pa9710de0,NSW_1079821_5
1903,0,0,0,NSW1079821,7,Melaleuca quinquenervia,-31.68235956,152.8002216,pa9710de0,NSW_1079821_7
1908,4,1,30,NSW1079821,12,Melaleuca quinquenervia,-31.68235956,152.8002216,pa9710de0,NSW_1079821_12
1909,3,1,18,NSW1079822,1,Melaleuca quinquenervia,-31.68554497,152.7971721,pa9710de0,NSW_1079822_1
1910,0.5,1,5,NSW1079822,2,Melaleuca quinquenervia,-31.68554497,152.7971721,pa9710de0,NSW_1079822_2
1916,0.5,1,2.5,NSW1079822,8,Melaleuca quinquenervia,-31.68554497,152.7971721,pa9710de0,NSW_1079822_8
1918,4,1,20,NSW1079822,10,Melaleuca quinquenervia,-31.68554497,152.7971721,pa9710de0,NSW_1079822_10
1920,3,1,3,NSW1079822,12,Melaleuca quinquenervia,-31.68554497,152.7971721,pa9710de0,NSW_1079822_12
1921,0,0,0,NSW1080758,1,Melaleuca quinquenervia,-30.18909914,153.1615232,pb659e150,NSW_1080758_1
1934,4,1,70,NSW1080759,2,Melaleuca quinquenervia,-30.17570688,153.1868368,pb659e150,NSW_1080759_2
1935,4.5,1,5,NSW1080759,3,Melaleuca quinquenervia,-30.17570688,153.1868368,pb659e150,NSW_1080759_3
1936,0.5,1,2,NSW1080759,4,Melaleuca quinquenervia,-30.17570688,153.1868368,pb659e150,NSW_1080759_4
1937,2,1,3,NSW1080759,5,Melaleuca quinquenervia,-30.17570688,153.1868368,pb659e150,NSW_1080759_5
1939,4,1,20,NSW1080759,7,Melaleuca quinquenervia,-30.17570688,153.1868368,pb659e150,NSW_1080759_7
1940,2.5,1,4.5,NSW1080759,8,Melaleuca quinquenervia,-30.17570688,153.1868368,pb659e150,NSW_1080759_8
1944,1.25,1,1,NSW1080759,12,Melaleuca quinquenervia,-30.17570688,153.1868368,pb659e150,NSW_1080759_12
1945,3,1,24,NSW1080761,1,Melaleuca quinquenervia,-30.18909784,153.1615165,pb659e150,NSW_1080761_1
1946,2,1,3,NSW1080761,2,Melaleuca quinquenervia,-30.18909784,153.1615165,pb659e150,NSW_1080761_2
1950,0,0,0,NSW1080761,6,Melaleuca quinquenervia,-30.18909784,153.1615165,pb659e150,NSW_1080761_6
1951,0,0,0,NSW1080761,7,Melaleuca quinquenervia,-30.18909784,153.1615165,pb659e150,NSW_1080761_7
1952,1,1,2,NSW1080761,8,Melaleuca quinquenervia,-30.18909784,153.1615165,pb659e150,NSW_1080761_8
1954,2,1,4.5,NSW1080761,10,Melaleuca quinquenervia,-30.18909784,153.1615165,pb659e150,NSW_1080761_10
1955,1.5,1,4.5,NSW1080761,11,Melaleuca quinquenervia,-30.18909784,153.1615165,pb659e150,NSW_1080761_11
1956,0,0,0,NSW1080761,12,Melaleuca quinquenervia,-30.18909784,153.1615165,pb659e150,NSW_1080761_12
1959,0.5,1,2.5,NSW1080762,2,Melaleuca quinquenervia,-30.19164058,153.1644314,pb659e150,NSW_1080762_2
1961,4,1,30,NSW1080762,3,Melaleuca quinquenervia,-30.19164058,153.1644314,pb659e150,NSW_1080762_3
1963,3,1,18,NSW1080762,4,Melaleuca quinquenervia,-30.19164058,153.1644314,pb659e150,NSW_1080762_4
1967,2,1,7.5,NSW1080762,6,Melaleuca quinquenervia,-30.19164058,153.1644314,pb659e150,NSW_1080762_6
1969,3,1,3,NSW1080762,7,Melaleuca quinquenervia,-30.19164058,153.1644314,pb659e150,NSW_1080762_7
1971,4,1,20,NSW1080762,8,Melaleuca quinquenervia,-30.19164058,153.1644314,pb659e150,NSW_1080762_8
1973,4,1,70,NSW1080762,9,Melaleuca quinquenervia,-30.19164058,153.1644314,pb659e150,NSW_1080762_9
1981,0,0,0,NSW1080763,1,Melaleuca quinquenervia,-30.03875313,153.1961878,p60668f30,NSW_1080763_1
1982,0,0,0,NSW1080763,2,Melaleuca quinquenervia,-30.03875313,153.1961878,p60668f30,NSW_1080763_2
1995,NA,NA,NA,NSW1080764,3,Melaleuca quinquenervia,-29.85198428,153.2637667,p8a9b6b20,NSW_1080764_3
1997,4,1,60,NSW1080764,5,Melaleuca quinquenervia,-29.85198428,153.2637667,p8a9b6b20,NSW_1080764_5
1998,0,0,0,NSW1080764,6,Melaleuca quinquenervia,-29.85198428,153.2637667,p8a9b6b20,NSW_1080764_6
1999,0,0,0,NSW1080764,7,Melaleuca quinquenervia,-29.85198428,153.2637667,p8a9b6b20,NSW_1080764_7
2000,0,0,0,NSW1080764,8,Melaleuca quinquenervia,-29.85198428,153.2637667,p8a9b6b20,NSW_1080764_8
2003,0,0,0,NSW1080764,11,Melaleuca quinquenervia,-29.85198428,153.2637667,p8a9b6b20,NSW_1080764_11
2005,4,1,25,NSW1080765,1,Melaleuca quinquenervia,-30.03709778,153.1968916,p60668f30,NSW_1080765_1
2006,4,1,5,NSW1080765,2,Melaleuca quinquenervia,-30.03709778,153.1968916,p60668f30,NSW_1080765_2
2007,1.5,1,1.5,NSW1080765,3,Melaleuca quinquenervia,-30.03709778,153.1968916,p60668f30,NSW_1080765_3
2008,3,1,3,NSW1080765,4,Melaleuca quinquenervia,-30.03709778,153.1968916,p60668f30,NSW_1080765_4
2010,0,0,0,NSW1080765,6,Melaleuca quinquenervia,-30.03709778,153.1968916,p60668f30,NSW_1080765_6
2011,0,0,0,NSW1080765,7,Melaleuca quinquenervia,-30.03709778,153.1968916,p60668f30,NSW_1080765_7
2014,0.5,1,2.5,NSW1080765,10,Melaleuca quinquenervia,-30.03709778,153.1968916,p60668f30,NSW_1080765_10
2015,0,0,0,NSW1080765,11,Melaleuca quinquenervia,-30.03709778,153.1968916,p60668f30,NSW_1080765_11
2018,0,0,0,NSW1080766,2,Melaleuca quinquenervia,-29.85212664,153.2629126,p8a9b6b20,NSW_1080766_2
2020,NA,NA,NA,NSW1080766,4,Melaleuca quinquenervia,-29.85212664,153.2629126,p8a9b6b20,NSW_1080766_4
2023,NA,NA,NA,NSW1080766,7,Melaleuca quinquenervia,-29.85212664,153.2629126,p8a9b6b20,NSW_1080766_7
2025,0.5,1,2.5,NSW1080766,9,Melaleuca quinquenervia,-29.85212664,153.2629126,p8a9b6b20,NSW_1080766_9
2026,0,0,0,NSW1080766,10,Melaleuca quinquenervia,-29.85212664,153.2629126,p8a9b6b20,NSW_1080766_10
2029,4,1,40,NSW1080767,1,Melaleuca quinquenervia,-30.18913757,153.1614909,pb659e150,NSW_1080767_1
2030,0.5,1,4,NSW1080767,2,Melaleuca quinquenervia,-30.18913757,153.1614909,pb659e150,NSW_1080767_2
2031,0,0,0,NSW1080767,3,Melaleuca quinquenervia,-30.18913757,153.1614909,pb659e150,NSW_1080767_3
2032,0,0,0,NSW1080767,4,Melaleuca quinquenervia,-30.18913757,153.1614909,pb659e150,NSW_1080767_4
2034,NA,NA,NA,NSW1080767,6,Melaleuca quinquenervia,-30.18913757,153.1614909,pb659e150,NSW_1080767_6
2037,0,0,0,NSW1080767,9,Melaleuca quinquenervia,-30.18913757,153.1614909,pb659e150,NSW_1080767_9
2038,3,1,36,NSW1080767,10,Melaleuca quinquenervia,-30.18913757,153.1614909,pb659e150,NSW_1080767_10
2039,0.5,1,5,NSW1080767,11,Melaleuca quinquenervia,-30.18913757,153.1614909,pb659e150,NSW_1080767_11
2041,4,1,5,NSW1080768,1,Melaleuca quinquenervia,-30.03595822,153.1971047,p60668f30,NSW_1080768_1
2043,3,1,36,NSW1080768,3,Melaleuca quinquenervia,-30.03595822,153.1971047,p60668f30,NSW_1080768_3
2045,2,1,6,NSW1080768,5,Melaleuca quinquenervia,-30.03595822,153.1971047,p60668f30,NSW_1080768_5
2046,0,0,0,NSW1080768,6,Melaleuca quinquenervia,-30.03595822,153.1971047,p60668f30,NSW_1080768_6
2047,0,0,0,NSW1080768,7,Melaleuca quinquenervia,-30.03595822,153.1971047,p60668f30,NSW_1080768_7
2049,1,1,1,NSW1080768,9,Melaleuca quinquenervia,-30.03595822,153.1971047,p60668f30,NSW_1080768_9
2051,0,0,0,NSW1080768,11,Melaleuca quinquenervia,-30.03595822,153.1971047,p60668f30,NSW_1080768_11
2065,4,1,30,NSW1080770,1,Melaleuca quinquenervia,-30.0364465,153.1972212,p60668f30,NSW_1080770_1
2066,0,0,0,NSW1080770,2,Melaleuca quinquenervia,-30.0364465,153.1972212,p60668f30,NSW_1080770_2
2068,2,1,1.5,NSW1080770,4,Melaleuca quinquenervia,-30.0364465,153.1972212,p60668f30,NSW_1080770_4
2073,0.5,1,5,NSW1080770,9,Melaleuca quinquenervia,-30.0364465,153.1972212,p60668f30,NSW_1080770_9
2074,NA,NA,0,NSW1080770,10,Melaleuca quinquenervia,-30.0364465,153.1972212,p60668f30,NSW_1080770_10
2075,0,0,0,NSW1080770,11,Melaleuca quinquenervia,-30.0364465,153.1972212,p60668f30,NSW_1080770_11
2076,4,1,10,NSW1080770,12,Melaleuca quinquenervia,-30.0364465,153.1972212,p60668f30,NSW_1080770_12
2077,0.5,1,0.5,NSW1080771,1,Melaleuca quinquenervia,-30.03812797,153.1965677,p60668f30,NSW_1080771_1
2078,4,1,50,NSW1080771,2,Melaleuca quinquenervia,-30.03812797,153.1965677,p60668f30,NSW_1080771_2
2080,4,1,40,NSW1080771,4,Melaleuca quinquenervia,-30.03812797,153.1965677,p60668f30,NSW_1080771_4
2083,3,1,3,NSW1080771,7,Melaleuca quinquenervia,-30.03812797,153.1965677,p60668f30,NSW_1080771_7
2089,0,0,0,NSW1080772,1,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_1
2090,0.5,1,1,NSW1080772,2,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_2
2091,4,1,60,NSW1080772,3,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_3
2092,NA,NA,NA,NSW1080772,4,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_4
2093,NA,NA,NA,NSW1080772,5,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_5
2095,0,0,0,NSW1080772,7,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_7
2096,4,1,40,NSW1080772,8,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_8
2098,3,1,3,NSW1080772,10,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_10
2099,1,1,0.5,NSW1080772,11,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_11
2100,4,1,10,NSW1080772,12,Melaleuca quinquenervia,-30.18911622,153.1615077,pb659e150,NSW_1080772_12
2101,3,1,42,NSW1080773,1,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_1
2103,3,1,30,NSW1080773,3,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_3
2104,3,1,3,NSW1080773,4,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_4
2105,0,0,0,NSW1080773,5,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_5
2106,0.5,1,5,NSW1080773,6,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_6
2107,1,1,2,NSW1080773,7,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_7
2108,4,1,10,NSW1080773,8,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_8
2111,4,1,5,NSW1080773,11,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_11
2112,4,1,5,NSW1080773,12,Melaleuca quinquenervia,-30.03477256,153.1975396,p60668f30,NSW_1080773_12
2113,0,0,0,NSW1080774,1,Melaleuca quinquenervia,-30.03558083,153.1972502,p60668f30,NSW_1080774_1
2114,NA,NA,NA,NSW1080774,2,Melaleuca quinquenervia,-30.03558083,153.1972502,p60668f30,NSW_1080774_2
2115,4,1,30,NSW1080774,3,Melaleuca quinquenervia,-30.03558083,153.1972502,p60668f30,NSW_1080774_3
2116,0.5,1,3,NSW1080774,4,Melaleuca quinquenervia,-30.03558083,153.1972502,p60668f30,NSW_1080774_4
2120,0,0,0,NSW1080774,8,Melaleuca quinquenervia,-30.03558083,153.1972502,p60668f30,NSW_1080774_8
2121,0,0,0,NSW1080774,9,Melaleuca quinquenervia,-30.03558083,153.1972502,p60668f30,NSW_1080774_9
2122,0,0,0,NSW1080774,10,Melaleuca quinquenervia,-30.03558083,153.1972502,p60668f30,NSW_1080774_10
2124,0,0,0,NSW1080774,12,Melaleuca quinquenervia,-30.03558083,153.1972502,p60668f30,NSW_1080774_12
2125,0,0,0,NSW1080775,1,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_1
2126,0.5,1,3,NSW1080775,2,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_2
2129,0,0,0,NSW1080775,5,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_5
2130,2,1,15,NSW1080775,6,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_6
2131,0.5,1,2,NSW1080775,7,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_7
2132,0,0,0,NSW1080775,8,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_8
2133,0,0,0,NSW1080775,9,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_9
2134,0,0,0,NSW1080775,10,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_10
2135,0.5,1,3,NSW1080775,11,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_11
2136,0.5,1,1,NSW1080775,12,Melaleuca quinquenervia,-30.03464414,153.1976471,p60668f30,NSW_1080775_12
2138,4,1,25,NSW1080776,2,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_2
2139,0.5,1,2,NSW1080776,3,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_3
2140,0,0,0,NSW1080776,4,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_4
2141,0.5,1,1,NSW1080776,5,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_5
2142,0.5,1,2,NSW1080776,6,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_6
2143,0,0,0,NSW1080776,7,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_7
2144,0.5,1,5,NSW1080776,8,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_8
2145,0,0,0,NSW1080776,9,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_9
2147,0,0,0,NSW1080776,11,Melaleuca quinquenervia,-30.03812084,153.1965746,p60668f30,NSW_1080776_11
2149,0,0,0,NSW1080777,1,Melaleuca quinquenervia,-29.85199418,153.2709712,p8a9b6b20,NSW_1080777_1
2153,0.5,1,5,NSW1080777,5,Melaleuca quinquenervia,-29.85199418,153.2709712,p8a9b6b20,NSW_1080777_5
2155,0.5,1,4,NSW1080777,7,Melaleuca quinquenervia,-29.85199418,153.2709712,p8a9b6b20,NSW_1080777_7
2157,0.5,1,2,NSW1080777,9,Melaleuca quinquenervia,-29.85199418,153.2709712,p8a9b6b20,NSW_1080777_9
2158,4,1,30,NSW1080777,10,Melaleuca quinquenervia,-29.85199418,153.2709712,p8a9b6b20,NSW_1080777_10
2159,2,1,36,NSW1080777,11,Melaleuca quinquenervia,-29.85199418,153.2709712,p8a9b6b20,NSW_1080777_11
2162,3,1,18,NSW1080778,2,Melaleuca quinquenervia,-29.85293685,153.2701393,p8a9b6b20,NSW_1080778_2
2163,0.5,1,1,NSW1080778,3,Melaleuca quinquenervia,-29.85293685,153.2701393,p8a9b6b20,NSW_1080778_3
2164,1,1,2.5,NSW1080778,4,Melaleuca quinquenervia,-29.85293685,153.2701393,p8a9b6b20,NSW_1080778_4
2165,4,1,10,NSW1080778,5,Melaleuca quinquenervia,-29.85293685,153.2701393,p8a9b6b20,NSW_1080778_5
2167,0,0,0,NSW1080778,7,Melaleuca quinquenervia,-29.85293685,153.2701393,p8a9b6b20,NSW_1080778_7
2168,4,1,30,NSW1080778,8,Melaleuca quinquenervia,-29.85293685,153.2701393,p8a9b6b20,NSW_1080778_8
2177,0.5,1,2.5,NSW1080779,5,Melaleuca quinquenervia,-29.85293715,153.2701373,p8a9b6b20,NSW_1080779_5
2178,0,0,0,NSW1080779,6,Melaleuca quinquenervia,-29.85293715,153.2701373,p8a9b6b20,NSW_1080779_6
2182,0.5,1,60,NSW1080779,10,Melaleuca quinquenervia,-29.85293715,153.2701373,p8a9b6b20,NSW_1080779_10
2183,0,0,0,NSW1080779,11,Melaleuca quinquenervia,-29.85293715,153.2701373,p8a9b6b20,NSW_1080779_11
2184,0,0,0,NSW1080779,12,Melaleuca quinquenervia,-29.85293715,153.2701373,p8a9b6b20,NSW_1080779_12
2185,2.5,1,18,NSW1080780,1,Melaleuca quinquenervia,-30.18916854,153.1616169,pb659e150,NSW_1080780_1
2187,4,1,15,NSW1080780,3,Melaleuca quinquenervia,-30.18916854,153.1616169,pb659e150,NSW_1080780_3
2188,3,1,30,NSW1080780,4,Melaleuca quinquenervia,-30.18916854,153.1616169,pb659e150,NSW_1080780_4
2190,3,1,36,NSW1080780,6,Melaleuca quinquenervia,-30.18916854,153.1616169,pb659e150,NSW_1080780_6
2192,3,1,3,NSW1080780,8,Melaleuca quinquenervia,-30.18916854,153.1616169,pb659e150,NSW_1080780_8
2193,2,1,7.5,NSW1080780,9,Melaleuca quinquenervia,-30.18916854,153.1616169,pb659e150,NSW_1080780_9
2194,2,1,12,NSW1080780,10,Melaleuca quinquenervia,-30.18916854,153.1616169,pb659e150,NSW_1080780_10
2195,0,0,0,NSW1080780,11,Melaleuca quinquenervia,-30.18916854,153.1616169,pb659e150,NSW_1080780_11
2197,0.5,1,5,NSW1080781,1,Melaleuca quinquenervia,-29.85200872,153.2619853,p8a9b6b20,NSW_1080781_1
2198,0.5,1,5,NSW1080781,2,Melaleuca quinquenervia,-29.85200872,153.2619853,p8a9b6b20,NSW_1080781_2
2199,0.5,1,0.5,NSW1080781,3,Melaleuca quinquenervia,-29.85200872,153.2619853,p8a9b6b20,NSW_1080781_3
2200,0.25,1,0.1,NSW1080781,4,Melaleuca quinquenervia,-29.85200872,153.2619853,p8a9b6b20,NSW_1080781_4
2201,0,0,0,NSW1080781,5,Melaleuca quinquenervia,-29.85200872,153.2619853,p8a9b6b20,NSW_1080781_5
2202,0,0,0,NSW1080781,6,Melaleuca quinquenervia,-29.85200872,153.2619853,p8a9b6b20,NSW_1080781_6
2203,0,0,0,NSW1080781,7,Melaleuca quinquenervia,-29.85200872,153.2619853,p8a9b6b20,NSW_1080781_7
2208,0,0,0,NSW1080781,12,Melaleuca quinquenervia,-29.85200872,153.2619853,p8a9b6b20,NSW_1080781_12
2211,0.5,1,3,NSW1080782,3,Melaleuca quinquenervia,-29.8522382,153.262396,p8a9b6b20,NSW_1080782_3
2212,0,0,0,NSW1080782,4,Melaleuca quinquenervia,-29.8522382,153.262396,p8a9b6b20,NSW_1080782_4
2214,1,1,4,NSW1080782,6,Melaleuca quinquenervia,-29.8522382,153.262396,p8a9b6b20,NSW_1080782_6
2215,0.5,1,2.5,NSW1080782,7,Melaleuca quinquenervia,-29.8522382,153.262396,p8a9b6b20,NSW_1080782_7
