"param_iteration","timeperiod","Lifestage","mean_MR","sd_MR"
7,"Soon","Adult",0.140000515856755,0.204977449538544
7,"Soon","Seedling",0.173845288611808,0.215244373987132
7,"Soon","Subadult",0.129338754147575,0.165491141237839
7,"After","Adult",0.0223744390558617,0.0602718411410562
7,"After","Seedling",0.0825942251001391,0.126329928184012
7,"After","Subadult",0.0552078588693639,0.0932915785419522
8,"Soon","Adult",0.233442615864323,0.254770880439029
8,"Soon","Seedling",0.235053219568592,0.237095160758728
8,"Soon","Subadult",0.239622054391067,0.231812793352336
8,"After","Adult",0.0512407356242696,0.0945134296144891
8,"After","Seedling",0.111302054328381,0.156128574078902
8,"After","Subadult",0.0787357881764342,0.125749590541146
9,"Soon","Adult",0.0907653852849467,0.151762883721044
9,"Soon","Seedling",0.133002652385242,0.180411656511684
9,"Soon","Subadult",0.0843702563456515,0.145166628857072
9,"After","Adult",0.018950165928062,0.0505056241577144
9,"After","Seedling",0.0779626586111387,0.125851159989748
9,"After","Subadult",0.0522086469725066,0.0961531840235402
10,"Soon","Adult",0.082152185895933,0.146699506076733
10,"Soon","Seedling",0.125365218501642,0.174100072513134
10,"Soon","Subadult",0.099215220467913,0.148589910307657
10,"After","Adult",0.0171941169511949,0.0504953630701907
10,"After","Seedling",0.0831781108875033,0.12633534570564
10,"After","Subadult",0.0506846093208315,0.0928705882405851
11,"Soon","Adult",0.320736392288159,0.299782761936426
11,"Soon","Seedling",0.333152736862613,0.28988121996755
11,"Soon","Subadult",0.241993738354059,0.228967708200056
11,"After","Adult",0.0175653641296114,0.0464332988530998
11,"After","Seedling",0.062465216756236,0.11493106523073
11,"After","Subadult",0.0451156888210907,0.0897080593041258
12,"Soon","Adult",0.129330068688715,0.197397267119649
12,"Soon","Seedling",0.140930770066956,0.192290994995214
12,"Soon","Subadult",0.117462240297762,0.162581080095084
12,"After","Adult",0.0271289421167341,0.0659084680837865
12,"After","Seedling",0.0788389875210053,0.132023537467479
12,"After","Subadult",0.0653872780546663,0.114290947354357
13,"Soon","Adult",0.24898247382227,0.253584912667565
13,"Soon","Seedling",0.26553556042624,0.236419968741968
13,"Soon","Subadult",0.212146410345804,0.217455774180656
13,"After","Adult",0.0478763625634492,0.0941587943046292
13,"After","Seedling",0.0850945856417879,0.128292837461924
13,"After","Subadult",0.07188643055098,0.123917229201717
14,"Soon","Adult",0.343789187891294,0.268324506940477
14,"Soon","Seedling",0.309747863795943,0.244941150699161
14,"Soon","Subadult",0.324411608113877,0.275494432626855
14,"After","Adult",0.107578559630028,0.1557048641954
14,"After","Seedling",0.117190669676744,0.150282371286535
14,"After","Subadult",0.112464406330015,0.145631759576954
15,"Soon","Adult",0.265336493221177,0.248237375187296
15,"Soon","Seedling",0.263421989066217,0.235035446187019
15,"Soon","Subadult",0.245451757766906,0.221135867061506
15,"After","Adult",0.0506647332661676,0.093277639276775
15,"After","Seedling",0.0980798404202945,0.144971387776629
15,"After","Subadult",0.0837423245760575,0.121201254901049
16,"Soon","Adult",0.480163838964856,0.301300006559314
16,"Soon","Seedling",0.368486626066117,0.279095964943916
16,"Soon","Subadult",0.370802252746275,0.273022050731708
16,"After","Adult",0.0993812475117405,0.142087981323784
16,"After","Seedling",0.112594020000621,0.154232884855183
16,"After","Subadult",0.122049501893365,0.156829143995484
17,"Soon","Adult",0.149108726622581,0.186690028865914
17,"Soon","Seedling",0.204524995194807,0.236676201670369
17,"Soon","Subadult",0.114661707407964,0.163271477407351
17,"After","Adult",0.0155690657593945,0.0441355177307391
17,"After","Seedling",0.0715454634818485,0.129597028486355
17,"After","Subadult",0.0643168664041203,0.112733270825761
18,"Soon","Adult",0.126858001215569,0.180756588242838
18,"Soon","Seedling",0.166627284166476,0.219176397457315
18,"Soon","Subadult",0.150580006252081,0.186442144458702
18,"After","Adult",0.037181644844159,0.0732478725849131
18,"After","Seedling",0.106120773392026,0.143197833613499
18,"After","Subadult",0.064985467509984,0.119610966226794
19,"Soon","Adult",0.123809373587887,0.189299777805776
19,"Soon","Seedling",0.150481178324871,0.181980474419473
19,"Soon","Subadult",0.106271994643575,0.165063572567213
19,"After","Adult",0.0213540458108481,0.0548652470780812
19,"After","Seedling",0.0819566069846372,0.131696611561476
19,"After","Subadult",0.0507107625746394,0.096585074782601
20,"Soon","Adult",0.259575218173512,0.255505624145999
20,"Soon","Seedling",0.244607600894682,0.238764618342884
