"param_iteration","timeperiod","pop_struct","pop_size","mean_MR","sd_MR","pop_growth_trend","pop_growth_R2"
16,"After",1117451.12345127,1306828,0.134686881283352,0.19449742570079,-6.8866968325791,0.00333343427793593
17,"Before",498432.111225345,1292403,0.462535862736322,0.372781284721366,-0.725305216426216,0.00028360411562662
17,"Soon",198039.636425687,605976,0.101742235236737,0.199729619482905,-19.2694357743097,0.0396647197230551
17,"After",450776.439081286,1249073,0.0284338695507478,0.0753358421197316,0.216742081448052,1.24557755519613e-05
18,"Before",1126146.60470035,1348405,0.466837852609207,0.375812513191372,-3.17215913941772,0.00137761302114428
18,"Soon",1019868.72319436,1288530,0.116246502519756,0.199272640553439,4.92235294117645,0.00168317456184943
18,"After",1058780.38975468,1316514,0.0694511100658642,0.123677705217361,-16.4071493212669,0.0121357931338576
19,"Before",1049585.83597353,1316053,0.499134010825978,0.375666530299645,4.12844702467342,0.00344754552455066
19,"Soon",914904.014816049,1278538,0.0919383424196605,0.180337397915391,14.8867226890756,0.0181625110780216
19,"After",998522.724188239,1317112,0.0504232743602192,0.100487902757485,2.24470588235296,0.000393039460616107
20,"Before",1243960.01312667,1345309,0.460828823509136,0.374391536207184,1.93959702894219,0.000492595048294389
20,"Soon",1116785.21912191,1294956,0.174244894022105,0.247982565831946,18.1785354141656,0.00912613623677161
20,"After",1173884.51138312,1335045,0.105890103962545,0.160430597365619,-5.29665158371032,0.000856662770245988
21,"Before",114686.566154161,462633,0.57489939458333,0.37085334244284,5.58469222231702,0.0391715889254822
