"","time","MR_mean_summ","MR_sd_summ","maladaptation_time"
"1084",1084,0.143302563069283,0.197859229967325,1
"1085",1085,0.141894678173599,0.203470576058923,0
"1086",1086,0.156724587304627,0.206641774861578,1
"1087",1087,0.147920975240392,0.213923614550246,0
"1088",1088,0.149209264365029,0.208517437067465,1
"1089",1089,0.144324136527602,0.20665924935189,0
"1090",1090,0.143333491026028,0.202982511733191,0
"1091",1091,0.136501818329317,0.195287416070944,1
"1092",1092,0.125259741283423,0.191214259777236,0
"1093",1093,0.136679913995533,0.197889702450108,1
"1094",1094,0.138593534556446,0.197897345278043,0
"1095",1095,0.136223675082686,0.197597836443137,0
"1096",1096,0.133853997450235,0.192633135320582,1
"1097",1097,0.125145812203598,0.188219968638645,1
"1098",1098,0.129150939103973,0.193356486668405,0
"1099",1099,0.150958756007379,0.224551998825754,0
"1100",1100,0.137633016521766,0.209592800121853,0
"1101",1101,0.136305597736085,0.203503264351108,0
"1102",1102,0.12490953003339,0.193066451283101,0
"1103",1103,0.147896101196536,0.208618012436559,1
"1104",1104,0.141055125977544,0.202487552821543,1
"1105",1105,0.12484058827569,0.190957669446571,0
"1106",1106,0.123266397988104,0.19073334816614,0
"1107",1107,0.125940678314012,0.190910253302387,1
"1108",1108,0.126771347974881,0.189558689834952,1
"1109",1109,0.131133650231303,0.191063829306084,1
"1110",1110,0.144601928093068,0.207610250607345,0
"1111",1111,0.151885850586192,0.207265328653155,1
"1112",1112,0.14574097326364,0.203436389125378,0
"1113",1113,0.158719207881906,0.212875992078932,0
"1114",1114,0.155530695810747,0.212496032773218,0
"1115",1115,0.152312652801444,0.209496470843714,1
"1116",1116,0.142075308889557,0.207243148906922,0
"1117",1117,0.13998156454495,0.201657499393919,1
"1118",1118,0.148179400186081,0.203790230999528,1
"1119",1119,0.151005870780564,0.217432825161802,0
"1120",1120,0.152144802457943,0.212811505159233,0
"1121",1121,0.140664016627677,0.204844632016002,0
"1122",1122,0.155934004474624,0.236551790245316,0
"1123",1123,0.141452495199413,0.212868672233349,1
"1124",1124,0.149302307330559,0.210791319378972,1
"1125",1125,0.138195872197438,0.202700540287957,1
"1126",1126,0.131968306779324,0.196733044420974,0
"1127",1127,0.123552022675474,0.189286532394459,1
"1128",1128,0.130814647077111,0.19435884739198,0
"1129",1129,0.141372687413274,0.200341846081943,1
"1130",1130,0.167084234428335,0.240328353553325,0
"1131",1131,0.153143273705529,0.214687499088888,1
"1132",1132,0.141159370867368,0.204453480006099,1
"1133",1133,0.129969963482146,0.197037521090625,1
"1134",1134,0.125109114276516,0.188661554276234,1
"1135",1135,0.12297878029017,0.187823079203717,0
"1136",1136,0.124493869308948,0.18845861461794,1
"1137",1137,0.137727504654522,0.199755292535467,0
